NOME_PRODUTO,URL,CATEGORIA,PORCAO (g),CALORIAS (kcal),CARBOIDRATOS (g),PROTEINAS (g),GORDURAS_TOTAIS (g),GORDURAS_SATURADAS (g),FIBRAS (g),ACUCARES (g),SODIO (mg)
Kit 3 un Creme Dental (120g) - Pura vida,https://www.corpoevidasuplementos.com.br/kit-3-un-creme-dental-120g-pura-vida,Suplementos Veganos,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Ômega 3 Fosfatix (60caps) - Pura Vida,https://www.corpoevidasuplementos.com.br/omega-3-fosfatix-60caps-pura-vida,Vitaminas e Minerais,0.0,23.0,0.0,0.0,1.8,0,0.0,0.0,0.0
Kit 2 un Choco Nutrients (300g) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-2-un-choco-nutrients-300g-pura-vida,Substitutos de Refeição,20.0,61.0,11.0,2.0,0.0,0,4.0,0.0,82.0
Alpha Family (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/alpha-family-60-capsulas-pura-vida,Multivitaminicos,1.6,11.0,0.0,0.5,0.4,0,0.0,0.0,0.0
Kit 2un Vegan ômega 3 DHA (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-2-un-vegan-omega-3-dha-60-capsulas-pura-vida,Vitaminas e Minerais,0.0,10.0,0.0,0.0,0.6,0,0.0,0.0,0.0
Kit 3 Unidades Bio magnésio (60 cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-3-unidades-bio-magnesio-60-capsulas-pura-vida,Combos,0.0,13.0,0.0,0.5,1.1,0,0.0,0.0,0.0
Kit 2 un Tempero Lemon Pepper (130g) - Pura vida,https://www.corpoevidasuplementos.com.br/kit-2-un-tempero-lemon-pepper-130g-pura-vida,Temperos / Molhos / Caldas / Adoçantes,5.0,8.0,2.1,0.0,0.0,0,0.0,0.0,404.0
Zero Adoçante Natural (100g) - Pura Vida,https://www.corpoevidasuplementos.com.br/zero-adocante-natural-100g-pura-vida,Temperos / Molhos / Caldas / Adoçantes,1.5,0.0,1.5,0.0,0.0,0,0.0,0.0,0.0
Kit 2 un Bio magnésio (60 cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-2-un-bio-magnesio-60-capsulas-pura-vida,Vitaminas e Minerais,0.0,13.0,0.0,0.5,1.1,0,0.0,0.0,0.0
Kit 2 un Alpha Women (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-2-un-alpha-women-novo-60-capsulas-pura-vida,Multivitaminicos,0.0,10.0,0.0,0.5,0.3,0,0.0,0.0,0.0
Alpha Women (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/alpha-women-novo-60-capsulas-pura-vida,Multivitaminicos,0.0,8.0,0.0,0.0,0.4,0,0.0,0.0,0.0
Kit 3 Unidades Vitamina D3 Synergy (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-3-unidades-vitamina-d3-synergy-60-capsulas-pura-vida,Combos,0.0,6.0,0.0,0.0,0.4,0,0.0,0.0,0.0
Kit 3 un Tempero Veggie Taste (120g) - Pura vida,https://www.corpoevidasuplementos.com.br/kit-3-un-tempero-veggie-taste-120g-pura-vida,Temperos / Molhos / Caldas / Adoçantes,5.0,7.0,1.7,0.0,0.0,0,0.0,0.0,422.0
Bio Mag (60 cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/bio-mag-60-capsulas-pura-vida,Vitaminas e Minerais,0.0,14.0,0.0,0.6,1.2,0,0.0,0.0,0.0
Kit 2 un Alpha Mater (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-2-un-alpha-mater-60-capsulas-pura-vida,Multivitaminicos,2.26,8.0,0.0,0.0,0.5,0,0.0,0.0,0.0
Compre 2unid Blue Calm (175g) - Pura Vida e Ganhe Xícara,https://www.corpoevidasuplementos.com.br/compre-2unid-blue-calm-175g-pura-vida-e-ganhe-xicara,Combos,0.0,7.0,2.1,0.0,0.0,0,0.0,0.1,0.0
Beauty Care (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/beauty-care-60-capsulas-pura-vida,Vitaminas e Minerais,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Clorella Premium (200 tabletes) - Pura vida,https://www.corpoevidasuplementos.com.br/clorella-premium-200-tabletes-puravida-2,Vitaminas e Minerais,3.0,7.0,0.0,1.8,0.0,0,0.0,0.0,0.0
Kit 3 Unidades Collagen Flex + Beauty (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-3-unidades-collagen-flex-beauty-60-capsulas-pura-vida,Combos,14.0,7.0,0.0,0.0,6.0,0,0.0,0.0,0.0
Whey Protein Isolado Sabor Neutro (26g) - Pura vida,https://www.corpoevidasuplementos.com.br/whey-protein-isolado-sabor-neutro-26g-pura-vida,Whey Protein Isolado,26.0,93.0,0.0,23.0,0.0,0,0.0,0.0,44.0
Kit 2 un Coq10 Coenzima Q10 (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-2-un-coq10-coenzima-q10-60-capsulas-pura-vida,Enzimas,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Brain TCM (300ml) - Pura Vida,https://www.corpoevidasuplementos.com.br/brain-tcm-300ml-pura-vida-1,CL/LA/Bloqueadores de Gordura,0.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Kit 2 un Tempero Veggie Taste (120g) - Pura vida,https://www.corpoevidasuplementos.com.br/kit-2-un-tempero-veggie-taste-120g-pura-vida,Temperos / Molhos / Caldas / Adoçantes,5.0,7.0,1.7,0.0,0.0,0,0.0,0.0,422.0
Spirulina Premium (200 Tabletes) - Pura vida,https://www.corpoevidasuplementos.com.br/spirulina-premium-200-tabletes-puravida,Vitaminas e Minerais,3.0,8.0,0.0,2.0,0.0,0,0.0,0.0,23.0
Kit 3unid Curcumagic (30 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-3-unidades-curcumagic-30-capsulas-pura-vida,Vitaminas e Minerais,1.0,0.0,0.0,0.0,0.2,0,0.0,0.0,0.0
Kit 2 un Beauty Care (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-2-un-beauty-care-60-capsulas-pura-vida,Vitaminas e Minerais,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Blue Calm Sabor Limão e Maracujá (1 Sachê de 7G) - Pura Vida,https://www.corpoevidasuplementos.com.br/blue-calm-sabor-limao-e-maracuja-1-sache-de-7g-pura-vida,Bem-Estar,0.0,6.0,2.0,0.0,0.0,0,0.0,0.1,0.0
Purabiotics (30 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/purabiotics-30-capsulas-pura-vida,Probióticos,1.9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Kit 2 un Vision Care (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-2-un-vision-care-60-capsulas-pura-vida,Vitaminas e Minerais,1.0,10.0,0.0,0.0,0.5,0,0.0,0.0,0.0
Kit 3 un Tempero Plant Bacon (140g) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-3-un-tempero-plant-bacon-140g-pura-vida,Temperos / Molhos / Caldas / Adoçantes,5.0,11.0,2.1,0.7,0.0,0,0.0,0.0,366.0
Kit 3un Alpha Harmony (90 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-3-un-alpha-harmony-90-capsulas-pura-vida,Multivitaminicos,4.3,28.0,0.0,0.7,1.5,0,0.0,0.0,0.0
Ghee (500g) - Pura Vida,https://www.corpoevidasuplementos.com.br/ghee-500g-pura-vida,Gourmet,10.0,90.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Creatina Creapure Premium (300g) - Pura Vida,https://www.corpoevidasuplementos.com.br/creatina-creapure-premium-300g-pura-vida,Creatinas,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Ômega 3 Novo EPA DHA (60caps) - Pura Vida,https://www.corpoevidasuplementos.com.br/omega-3-novo-epa-dha-60caps-pura-vida,Vitaminas e Minerais,0.0,20.0,0.0,0.0,1.5,0,0.0,0.0,0.0
Máscara para Esporte com Logo - Dry fit,https://www.corpoevidasuplementos.com.br/mascara-para-esporte-com-logo-dry-fit,Acessórios,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Kit 3 un Vegan Protein (450g) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-3-un-vegan-protein-450g-pura-vida,Proteína Vegana,28.0,108.0,0.6,22.0,0.0,0,0.0,0.0,229.0
Coco Cream (1 cx com 10 sachês de 25g) - Pura Vida,https://www.corpoevidasuplementos.com.br/coco-cream-1-cx-com-10-saches-de-25g-pura-vida-1,Leite Vegetal,25.0,231.0,9.0,2.0,0.0,0,0.1,0.0,24.0
Kit 2 un Puro Açaí (200g) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-2-un-puro-acai-200g-pura-vida,Substitutos de Refeição,5.0,27.0,0.0,0.5,0.0,0,1.4,0.0,3.0
Omega 3 EPA DHA (120caps) - Pura Vida,https://www.corpoevidasuplementos.com.br/omega-3-epa-dha-120caps-pura-vida,Vitaminas e Minerais,0.0,20.0,0.0,0.0,1.5,0,0.0,0.0,0.0
One vegan Nutrition (900g) - Pura Vida,https://www.corpoevidasuplementos.com.br/one-vegan-nutrition-900g-pura-vida-1,Outros Suplementos Veganos,45.0,143.0,14.0,23.0,0.0,0,3.0,0.0,152.0
Pré Workout Framboesa Com Limão (220g) - Pura Vida,https://www.corpoevidasuplementos.com.br/pre-workout-framboesa-com-limao-220g-pura-vida-1,Pré Treino,0.0,15.0,2.0,0.0,0.0,0,3.6,0.2,3.8
Natural Protein Bar (Cx c/ 12 Unidades de 60g) - Pura Vida,https://www.corpoevidasuplementos.com.br/natural-protein-bar-cx-c-12-unidades-de-60g-pura-vida,Barras de Proteína,60.0,186.0,18.0,16.0,0.0,0,8.0,0.0,19.0
"Blue Calm Sabor Limão, Camomila, Maracujá e Spirulina Azul (Cx com 20 Sachês de 5g) - Pura Vida",https://www.corpoevidasuplementos.com.br/blue-calm-sabor-limao-camomila-maracuja-e-spirulina-azul-cx-com-20-saches-de-5g-pura-vida-1,Bem-Estar,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Coenzima Q10+ 200mg (60 caps) - Pura Vida,https://www.corpoevidasuplementos.com.br/coenzima-q10-200mg-60-caps-pura-vida,Antioxidante,0,5,0,0,0.2,0,0,0,0
